単語番号,日,種類,ファイル名,長さ(秒),開始(フレーム),終了(フレーム)
076,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.7,974848,1048576
077,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.9,1079808,1120768
077,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.7,1135104,1166848
077,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.4,1184256,1288192
078,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,1.2,1316352,1369088
078,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,1.0,1378304,1420288
078,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.0,1432064,1520640
079,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.7,1565696,1595904
079,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.5,1609216,1631744
079,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.8,1652736,1733120
080,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.6,1779712,1807360
080,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.6,1819648,1846272
080,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.1,1863168,1954816
081,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,1.2,1978368,2029568
081,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.6,2033664,2058240
081,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.3,2077184,2178560
082,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,1.0,2217984,2262016
082,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.7,2271232,2302464
082,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.9,2314240,2396160
083,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.8,2419712,2455552
083,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.7,2469376,2499072
083,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.4,2512896,2576384
084,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,1.0,2600960,2643968
084,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,1.0,2656256,2700800
084,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.7,2716160,2790400
085,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,120832,167424
085,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,1.1,176640,224256
085,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,1.7,236032,310272
086,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,344064,394240
086,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.9,407552,445440
086,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.5,456704,568832
087,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,0.9,588800,626688
087,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.6,638976,666624
087,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.8,687616,809472
088,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.2,848384,900096
088,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.7,909824,941056
088,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.5,969216,1079296
089,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,0.8,1112576,1149440
089,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.6,1168896,1193472
089,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.3,1217024,1317376
090,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.0,1344512,1387520
090,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.8,1406976,1443328
090,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,3.1,1465344,1603584
091,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,0.7,1647104,1676288
091,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.8,1691648,1725440
091,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.3,1746944,1847296
092,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,1889792,1937408
092,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.8,1947136,1980416
092,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.3,1999872,2101760
093,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,0.9,2126848,2167296
093,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.9,2189824,2229760
093,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.4,2243584,2349568
094,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,2407424,2457600
094,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.5,2474496,2496512
094,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.6,2518016,2634240
095,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,2678272,2725376
095,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.9,2740224,2778112
095,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.7,2799104,2916352
096,08,中国語,057_Kikutan_Chinese_Nyumon.mp3,1.1,2953728,3003904
096,08,日本語,057_Kikutan_Chinese_Nyumon.mp3,0.8,3014656,3047936
096,08,例文1,057_Kikutan_Chinese_Nyumon.mp3,2.8,3063808,3189248
097,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,0.7,115712,146432
097,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.4,165376,183808
097,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.4,208896,313856
098,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,0.8,357376,392192
098,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.6,396800,422912
098,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.4,434176,542208
099,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,0.8,593920,627712
099,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.6,644608,671232
099,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.6,698880,813568
100,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,0.9,843776,883200
100,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.8,898048,934912
100,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,1.6,953344,1021952
101,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.1,1051648,1100800
101,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,1.0,1113088,1159168
101,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.3,1172992,1273856
102,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.2,1311232,1362432
102,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.8,1377280,1414656
102,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.8,1432064,1555968
103,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.1,1591808,1638912
103,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.7,1652736,1683968
103,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.1,1702912,1795072
104,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.0,1818112,1862656
104,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.6,1879040,1905152
104,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.5,1923072,2034688
105,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.1,2066432,2113024
105,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,1.0,2132480,2175488
105,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.0,2199552,2289152
106,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,0.7,2330624,2361856
106,09,日本語,058_Kikutan_Chinese_Nyumon.mp3,0.5,2381824,2403840
106,09,例文1,058_Kikutan_Chinese_Nyumon.mp3,2.2,2419200,2514944
107,09,中国語,058_Kikutan_Chinese_Nyumon.mp3,1.1,2540544,2587136
